NUMBER,NAME,MISSION,STAGE 1,STAGE 2,STAGE 3, STAGE 4,STAGE 5,STAGE 6,BOSS,DONE
180,Machine World,NNHND(H),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Space Gadget,Lava Shelter,Egg Dealer,FALSE
181,Twilight Ark,NNHNN(D),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Space Gadget,Cosmic Fall,Egg Dealer,TRUE
182,Compensation for a Miracle,NNHNN(H),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Space Gadget,Cosmic Fall,Black Doom,FALSE
183,The Strongest Hedgehog,NNHNH(D),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Space Gadget,Final Haunt,Sonic and Diablon,FALSE
184,The Ultimate Punisher,NNHNH(H),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Space Gadget,Final Haunt,Black Doom,FALSE
185,Voyage of Reminiscence,NNHHN(D),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Lost Impact,Cosmic Fall,Egg Dealer,FALSE
186,Wandering�s End,NNHHN(H),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Lost Impact,Cosmic Fall,Black Doom,FALSE
187,The Ultimate Proof,NNHHH(D),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Lost Impact,Final Haunt,Sonic and Diablon,FALSE
188,Punisher of Love,NNHHH(H),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Lost Impact,Final Haunt,Black Doom,FALSE
189,Messenger from the Darkness,NHDDD(D),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Air Fleet,G.U.N. Fortress,Sonic and Diablon,FALSE
190,The New Ruler,NHDDD(H),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Air Fleet,G.U.N. Fortress,Black Doom,FALSE
191,Dark Soldier,NHDDN(D),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Air Fleet,Black Comet,Sonic and Diablon,FALSE
192,The Road of Light,NHDDN(H),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Air Fleet,Black Comet,Egg Dealer,FALSE
193,The Machine-Laden Kingdom,NHDDH(D),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer,FALSE
194,New Determination,NHDDH(H),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer,FALSE
195,Birth of the Dark Soldier,NHDND(D),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Iron Jungle,Black Comet,Sonic and Diablon,FALSE
196,A New Journey,NHDND(H),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Iron Jungle,Black Comet,Egg Dealer,FALSE
197,The Android�s Opposition,NHDNN(D),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
198,Founding of the Robot Nation,NHDNN(H),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
199,The Eternal Protector,NHDNH(D),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Iron Jungle,Cosmic Fall,Egg Dealer,FALSE
200,The Sinner�s Repose,NHDNH(H),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Iron Jungle,Cosmic Fall,Black Doom,FALSE
201,A Hero�s Resolution,NHDHD(D),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer,FALSE
202,The Weapons� Empire,NHDHD(H),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer,FALSE
203,Perpetual Voyage,NHDHN(D),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Space Gadget,Cosmic Fall,Egg Dealer,FALSE
204,A Hero�s Atonement,NHDHN(H),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Space Gadget,Cosmic Fall,Black Doom,FALSE
205,Dark Hegemony,NHDHH(D),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Space Gadget,Final Haunt,Sonic and Diablon,FALSE
206,And the Dream Continues,NHDHH(H),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Space Gadget,Final Haunt,Black Doom,FALSE
207,Fighter for Darkness,NHNDD(D),Westopolis,Glyphic Canyon,Circus Park,Mad Matrix,Iron Jungle,Black Comet,Sonic and Diablon,FALSE
208,The Path I Believed In,NHNDD(H),Westopolis,Glyphic Canyon,Circus Park,Mad Matrix,Iron Jungle,Black Comet,Egg Dealer,FALSE
209,Determination�s Daybreak,NHNDN(D),Westopolis,Glyphic Canyon,Circus Park,Mad Matrix,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
210,Machine Kingdom at Dawn,NHNDN(H),Westopolis,Glyphic Canyon,Circus Park,Mad Matrix,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
211,Sinful Protector,NHNDH(D),Westopolis,Glyphic Canyon,Circus Park,Mad Matrix,Iron Jungle,Cosmic Fall,Egg Dealer,FALSE
212,At the End of the Journey,NHNDH(H),Westopolis,Glyphic Canyon,Circus Park,Mad Matrix,Iron Jungle,Cosmic Fall,Black Doom,FALSE
213,Surmounting the Nightmare,NHNND(D),Westopolis,Glyphic Canyon,Circus Park,Mad Matrix,Space Gadget,Lava Shelter,Egg Dealer,FALSE
214,Dawn of the Machines,NHNND(H),Westopolis,Glyphic Canyon,Circus Park,Mad Matrix,Space Gadget,Lava Shelter,Egg Dealer,FALSE
215,Wandering for Eternity,NHNNN(D),Westopolis,Glyphic Canyon,Circus Park,Mad Matrix,Space Gadget,Cosmic Fall,Egg Dealer,FALSE
216,At Vagrancy�s End,NHNNN(H),Westopolis,Glyphic Canyon,Circus Park,Mad Matrix,Space Gadget,Cosmic Fall,Black Doom,FALSE
217,The Summit of Power,NHNNH(D),Westopolis,Glyphic Canyon,Circus Park,Mad Matrix,Space Gadget,Final Haunt,Sonic and Diablon,FALSE
218,Under the Name of Love,NHNNH(H),Westopolis,Glyphic Canyon,Circus Park,Mad Matrix,Space Gadget,Final Haunt,Black Doom,FALSE
219,Eternally Drifting,NHNHN(D),Westopolis,Glyphic Canyon,Circus Park,Mad Matrix,Lost Impact,Cosmic Fall,Egg Dealer,FALSE
220,The Importance of Truth,NHNHN(H),Westopolis,Glyphic Canyon,Circus Park,Mad Matrix,Lost Impact,Cosmic Fall,Black Doom,FALSE
221,The Beginning of Judgment,NHNHH(D),Westopolis,Glyphic Canyon,Circus Park,Mad Matrix,Lost Impact,Final Haunt,Sonic and Diablon,TRUE
222,This World�s Guardian,NHNHH(H),Westopolis,Glyphic Canyon,Circus Park,Mad Matrix,Lost Impact,Final Haunt,Black Doom,FALSE
223,Light Born from Darkness,NHHDD(D),Westopolis,Glyphic Canyon,Circus Park,Death Ruins,Space Gadget,Lava Shelter,Egg Dealer,FALSE
224,The Order of Steel,NHHDD(H),Westopolis,Glyphic Canyon,Circus Park,Death Ruins,Space Gadget,Lava Shelter,Egg Dealer,FALSE
225,Solitary Journey,NHHDN(D),Westopolis,Glyphic Canyon,Circus Park,Death Ruins,Space Gadget,Cosmic Fall,Egg Dealer,FALSE
226,The Fall Home,NHHDN(H),Westopolis,Glyphic Canyon,Circus Park,Death Ruins,Space Gadget,Cosmic Fall,Black Doom,FALSE
227,Sovereign of All Creation,NHHDH(D),Westopolis,Glyphic Canyon,Circus Park,Death Ruins,Space Gadget,Final Haunt,Sonic and Diablon,FALSE
228,I Shall Be the One to Judge,NHHDH(H),Westopolis,Glyphic Canyon,Circus Park,Death Ruins,Space Gadget,Final Haunt,Black Doom,FALSE
229,Gone With the Darkness,NHHHN(D),Westopolis,Glyphic Canyon,Circus Park,Death Ruins,Lost Impact,Cosmic Fall,Egg Dealer,FALSE
230,The Ultimate Choice,NHHHN(H),Westopolis,Glyphic Canyon,Circus Park,Death Ruins,Lost Impact,Cosmic Fall,Black Doom,FALSE
231,I Am the Strongest!,NHHHH(D),Westopolis,Glyphic Canyon,Circus Park,Death Ruins,Lost Impact,Final Haunt,Sonic and Diablon,FALSE
232,Justice�s Awakening,NHHHH(H),Westopolis,Glyphic Canyon,Circus Park,Death Ruins,Lost Impact,Final Haunt,Black Doom,FALSE
233,Prelude to Ruination,HDDDD(D),Westopolis,Lethal Highway,Prison Island,The Doom,The ARK,G.U.N. Fortress,Sonic and Diablon,FALSE
234,A World United by Darkness,HDDDD(H),Westopolis,Lethal Highway,Prison Island,The Doom,The ARK,G.U.N. Fortress,Black Doom,FALSE
235,The Pulse of Darkness,HDDDN(D),Westopolis,Lethal Highway,Prison Island,The Doom,The ARK,Black Comet,Sonic and Diablon,FALSE
236,To Just Be Myself,HDDDN(H),Westopolis,Lethal Highway,Prison Island,The Doom,The ARK,Black Comet,Egg Dealer,FALSE
237,Punishment in Jet Black,HDDND(D),Westopolis,Lethal Highway,Prison Island,The Doom,Air Fleet,G.U.N. Fortress,Sonic and Diablon,FALSE
238,The Ruler�s First Cry,HDDND(H),Westopolis,Lethal Highway,Prison Island,The Doom,Air Fleet,G.U.N. Fortress,Black Doom,FALSE
239,Darkness� Conspiracy,HDDNN(D),Westopolis,Lethal Highway,Prison Island,The Doom,Air Fleet,Black Comet,Sonic and Diablon,FALSE
240,The Faint Light of Tomorrow,HDDNN(H),Westopolis,Lethal Highway,Prison Island,The Doom,Air Fleet,Black Comet,Egg Dealer,FALSE
241,Time of Departure,HDDNH(D),Westopolis,Lethal Highway,Prison Island,The Doom,Air Fleet,Lava Shelter,Egg Dealer,FALSE
242,Rise of the Machine Kingdom,HDDNH(H),Westopolis,Lethal Highway,Prison Island,The Doom,Air Fleet,Lava Shelter,Egg Dealer,FALSE
243,Despair�s Quickening,HDDHD(D),Westopolis,Lethal Highway,Prison Island,The Doom,Iron Jungle,Black Comet,Sonic and Diablon,FALSE
244,The Beginning,HDDHD(H),Westopolis,Lethal Highway,Prison Island,The Doom,Iron Jungle,Black Comet,Egg Dealer,FALSE
245,Setting Out in the Morning,HDDHN(D),Westopolis,Lethal Highway,Prison Island,The Doom,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
246,The Weapons� Dawn,HDDHN(H),Westopolis,Lethal Highway,Prison Island,The Doom,Iron Jungle,Lava Shelter,Egg Dealer,TRUE
247,Pure Ark,HDDHH(D),Westopolis,Lethal Highway,Prison Island,The Doom,Iron Jungle,Cosmic Fall,Egg Dealer,FALSE
248,Making Up For It in the End,HDDHH(H),Westopolis,Lethal Highway,Prison Island,The Doom,Iron Jungle,Cosmic Fall,Black Doom,FALSE
249,The Coming of the Dark Time,HDNDD(D),Westopolis,Lethal Highway,Prison Island,Sky Troops,Air Fleet,G.U.N. Fortress,Sonic and Diablon,FALSE
250,The Throne of God,HDNDD(H),Westopolis,Lethal Highway,Prison Island,Sky Troops,Air Fleet,G.U.N. Fortress,Black Doom,FALSE
251,God of War,HDNDN(D),Westopolis,Lethal Highway,Prison Island,Sky Troops,Air Fleet,Black Comet,Sonic and Diablon,FALSE
252,Howl of Solitude,HDNDN(H),Westopolis,Lethal Highway,Prison Island,Sky Troops,Air Fleet,Black Comet,Egg Dealer,FALSE
253,Proof of Existence,HDNDH(D),Westopolis,Lethal Highway,Prison Island,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer,FALSE
254,Ardent Vow,HDNDH(H),Westopolis,Lethal Highway,Prison Island,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer,FALSE
255,A Deal With the Devil,HDNND(D),Westopolis,Lethal Highway,Prison Island,Sky Troops,Iron Jungle,Black Comet,Sonic and Diablon,FALSE
256,A Reason to Live,HDNND(H),Westopolis,Lethal Highway,Prison Island,Sky Troops,Iron Jungle,Black Comet,Egg Dealer,FALSE
257,Induplicable Thoughts,HDNNN(D),Westopolis,Lethal Highway,Prison Island,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
258,Steel Struck With Flame,HDNNN(H),Westopolis,Lethal Highway,Prison Island,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer,TRUE
259,A Heart Bound to the ARK,HDNNH(D),Westopolis,Lethal Highway,Prison Island,Sky Troops,Iron Jungle,Cosmic Fall,Egg Dealer,FALSE
260,Tears Shed by the Stars,HDNNH(H),Westopolis,Lethal Highway,Prison Island,Sky Troops,Iron Jungle,Cosmic Fall,Black Doom,FALSE
261,Imitation Complex,HDNHD(D),Westopolis,Lethal Highway,Prison Island,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer,FALSE
262,Steel Combat Boots,HDNHD(H),Westopolis,Lethal Highway,Prison Island,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer,FALSE
263,Protector of the Ashen Moon,HDNHN(D),Westopolis,Lethal Highway,Prison Island,Sky Troops,Space Gadget,Cosmic Fall,Egg Dealer,FALSE
264,A Demon Drifting,HDNHN(H),Westopolis,Lethal Highway,Prison Island,Sky Troops,Space Gadget,Cosmic Fall,Black Doom,FALSE
265,The Ultimate Pride,HDNHH(D),Westopolis,Lethal Highway,Prison Island,Sky Troops,Space Gadget,Final Haunt,Sonic and Diablon,FALSE
266,I Know the Will of Heaven,HDNHH(H),Westopolis,Lethal Highway,Prison Island,Sky Troops,Space Gadget,Final Haunt,Black Doom,FALSE
267,Ego Dyed in Black,HDHDD(D),Westopolis,Lethal Highway,Prison Island,Mad Matrix,Iron Jungle,Black Comet,Sonic and Diablon,FALSE
268,Isolation By Choice,HDHDD(H),Westopolis,Lethal Highway,Prison Island,Mad Matrix,Iron Jungle,Black Comet,Egg Dealer,FALSE
269,Faith Without Falsehood,HDHDN(D),Westopolis,Lethal Highway,Prison Island,Mad Matrix,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
270,Machine Empire,HDHDN(H),Westopolis,Lethal Highway,Prison Island,Mad Matrix,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
271,The Eternally-Closed Door,HDHDH(D),Westopolis,Lethal Highway,Prison Island,Mad Matrix,Iron Jungle,Cosmic Fall,Egg Dealer,FALSE
272,The Sealed-Away Ark of Sin,HDHDH(H),Westopolis,Lethal Highway,Prison Island,Mad Matrix,Iron Jungle,Cosmic Fall,Black Doom,FALSE
273,Silver Emergence,HDHND(D),Westopolis,Lethal Highway,Prison Island,Mad Matrix,Space Gadget,Lava Shelter,Egg Dealer,FALSE
274,Pulsating Supercurrent,HDHND(H),Westopolis,Lethal Highway,Prison Island,Mad Matrix,Space Gadget,Lava Shelter,Egg Dealer,FALSE
275,The Reason I Was Born,HDHNN(D),Westopolis,Lethal Highway,Prison Island,Mad Matrix,Space Gadget,Cosmic Fall,Egg Dealer,FALSE
276,The Dark Part of the Galaxy,HDHNN(H),Westopolis,Lethal Highway,Prison Island,Mad Matrix,Space Gadget,Cosmic Fall,Black Doom,FALSE
277,The View From Atop the World,HDHNH(D),Westopolis,Lethal Highway,Prison Island,Mad Matrix,Space Gadget,Final Haunt,Sonic and Diablon,FALSE
278,Maria�s Testament,HDHNH(H),Westopolis,Lethal Highway,Prison Island,Mad Matrix,Space Gadget,Final Haunt,Black Doom,FALSE
279,A Genius Scientist�s Lineage,HDHHN(D),Westopolis,Lethal Highway,Prison Island,Mad Matrix,Lost Impact,Cosmic Fall,Egg Dealer,FALSE
280,Distorted Truth,HDHHN(H),Westopolis,Lethal Highway,Prison Island,Mad Matrix,Lost Impact,Cosmic Fall,Black Doom,FALSE
281,A Counterfeit Existence,HDHHH(D),Westopolis,Lethal Highway,Prison Island,Mad Matrix,Lost Impact,Final Haunt,Sonic and Diablon,FALSE
282,Beloved Memories,HDHHH(H),Westopolis,Lethal Highway,Prison Island,Mad Matrix,Lost Impact,Final Haunt,Black Doom,FALSE
283,Birth of a Devil,HHDDD(D),Westopolis,Lethal Highway,Circus Park,Sky Troops,Air Fleet,G.U.N. Fortress,Sonic and Diablon,FALSE
284,A Dark Myth�s Beginnings,HHDDD(H),Westopolis,Lethal Highway,Circus Park,Sky Troops,Air Fleet,G.U.N. Fortress,Black Doom,FALSE
285,Black Thunder,HHDDN(D),Westopolis,Lethal Highway,Circus Park,Sky Troops,Air Fleet,Black Comet,Sonic and Diablon,FALSE
286,The Torn-Away Necklace,HHDDN(H),Westopolis,Lethal Highway,Circus Park,Sky Troops,Air Fleet,Black Comet,Egg Dealer,FALSE
287,A Soul Sheltered by Iron,HHDDH(D),Westopolis,Lethal Highway,Circus Park,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer,FALSE
288,Steel Nation�s Decree,HHDDH(H),Westopolis,Lethal Highway,Circus Park,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer,FALSE
289,Coronation of Darkness,HHDND(D),Westopolis,Lethal Highway,Circus Park,Sky Troops,Iron Jungle,Black Comet,Sonic and Diablon,FALSE
290,Opened Eyes,HHDND(H),Westopolis,Lethal Highway,Circus Park,Sky Troops,Iron Jungle,Black Comet,Egg Dealer,FALSE
291,The Doctor�s Lie,HHDNN(D),Westopolis,Lethal Highway,Circus Park,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
292,The Uninvited Successor,HHDNN(H),Westopolis,Lethal Highway,Circus Park,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
293,The Closed Pandora�s Box,HHDNH(D),Westopolis,Lethal Highway,Circus Park,Sky Troops,Iron Jungle,Cosmic Fall,Egg Dealer,FALSE
294,A Heart Bound by Sin,HHDNH(H),Westopolis,Lethal Highway,Circus Park,Sky Troops,Iron Jungle,Cosmic Fall,Black Doom,FALSE
295,Courage from Turning Gears,HHDHD(D),Westopolis,Lethal Highway,Circus Park,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer,FALSE
296,Fullmetal Prince,HHDHD(H),Westopolis,Lethal Highway,Circus Park,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer,FALSE
297,Time�s Watchman,HHDHN(D),Westopolis,Lethal Highway,Circus Park,Sky Troops,Space Gadget,Cosmic Fall,Egg Dealer,FALSE
298,Galaxy�s Requiem,HHDHN(H),Westopolis,Lethal Highway,Circus Park,Sky Troops,Space Gadget,Cosmic Fall,Black Doom,FALSE
299,Charm of the Chaos Emeralds,HHDHH(D),Westopolis,Lethal Highway,Circus Park,Sky Troops,Space Gadget,Final Haunt,Sonic and Diablon,FALSE
300,Promise of a Far-Off Day,HHDHH(H),Westopolis,Lethal Highway,Circus Park,Sky Troops,Space Gadget,Final Haunt,Black Doom,FALSE
301,The Grim Reaper�s Horn,HHNDD(D),Westopolis,Lethal Highway,Circus Park,Mad Matrix,Iron Jungle,Black Comet,Sonic and Diablon,FALSE
302,A Flame Extinguished by Fate,HHNDD(H),Westopolis,Lethal Highway,Circus Park,Mad Matrix,Iron Jungle,Black Comet,Egg Dealer,FALSE
303,Shouting at the Morning Sun,HHNDN(D),Westopolis,Lethal Highway,Circus Park,Mad Matrix,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
304,Iron Ambition,HHNDN(H),Westopolis,Lethal Highway,Circus Park,Mad Matrix,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
305,Sleeping on Hallowed Ground,HHNDH(D),Westopolis,Lethal Highway,Circus Park,Mad Matrix,Iron Jungle,Cosmic Fall,Egg Dealer,FALSE
306,Explanation of the Truth,HHNDH(H),Westopolis,Lethal Highway,Circus Park,Mad Matrix,Iron Jungle,Cosmic Fall,Black Doom,FALSE
307,An Android�s Dream,HHNND(D),Westopolis,Lethal Highway,Circus Park,Mad Matrix,Space Gadget,Lava Shelter,Egg Dealer,FALSE
308,Metallic Quickening,HHNND(H),Westopolis,Lethal Highway,Circus Park,Mad Matrix,Space Gadget,Lava Shelter,Egg Dealer,FALSE
309,Funeral Procession in Space,HHNNN(D),Westopolis,Lethal Highway,Circus Park,Mad Matrix,Space Gadget,Cosmic Fall,Egg Dealer,FALSE
310,Lost to the Universe�s Abyss,HHNNN(H),Westopolis,Lethal Highway,Circus Park,Mad Matrix,Space Gadget,Cosmic Fall,Black Doom,FALSE
311,Destiny for Two,HHNNH(D),Westopolis,Lethal Highway,Circus Park,Mad Matrix,Space Gadget,Final Haunt,Sonic and Diablon,FALSE
312,The Spun Threads of Fate,HHNNH(H),Westopolis,Lethal Highway,Circus Park,Mad Matrix,Space Gadget,Final Haunt,Black Doom,FALSE
313,Ark of the Heavens,HHNHN(D),Westopolis,Lethal Highway,Circus Park,Mad Matrix,Lost Impact,Cosmic Fall,Egg Dealer,FALSE
314,Ghost of The ARK,HHNHN(H),Westopolis,Lethal Highway,Circus Park,Mad Matrix,Lost Impact,Cosmic Fall,Black Doom,FALSE
315,A Pair of Shooting Stars,HHNHH(D),Westopolis,Lethal Highway,Circus Park,Mad Matrix,Lost Impact,Final Haunt,Sonic and Diablon,FALSE
316,The One Who Maria Entrusted,HHNHH(H),Westopolis,Lethal Highway,Circus Park,Mad Matrix,Lost Impact,Final Haunt,Black Doom,FALSE
317,A.I.�s Enlightenment,HHHDD(D),Westopolis,Lethal Highway,Circus Park,Death Ruins,Space Gadget,Lava Shelter,Egg Dealer,FALSE
318,A Dying Empire�s Cry,HHHDD(H),Westopolis,Lethal Highway,Circus Park,Death Ruins,Space Gadget,Lava Shelter,Egg Dealer,FALSE
319,Moon of Atonement,HHHDN(D),Westopolis,Lethal Highway,Circus Park,Death Ruins,Space Gadget,Cosmic Fall,Egg Dealer,TRUE
320,Tear-Soaked Hometown,HHHDN(H),Westopolis,Lethal Highway,Circus Park,Death Ruins,Space Gadget,Cosmic Fall,Black Doom,FALSE
321,Sparks on the Horizon,HHHDH(D),Westopolis,Lethal Highway,Circus Park,Death Ruins,Space Gadget,Final Haunt,Sonic and Diablon,FALSE
322,A Use for a Saved Life,HHHDH(H),Westopolis,Lethal Highway,Circus Park,Death Ruins,Space Gadget,Final Haunt,Black Doom,FALSE
323,Coffin of Memories,HHHHN(D),Westopolis,Lethal Highway,Circus Park,Death Ruins,Lost Impact,Cosmic Fall,Egg Dealer,TRUE
324,The Self-Imposed Seal,HHHHN(H),Westopolis,Lethal Highway,Circus Park,Death Ruins,Lost Impact,Cosmic Fall,Black Doom,TRUE
325,Pretense in the Mirror,HHHHH(D),Westopolis,Lethal Highway,Circus Park,Death Ruins,Lost Impact,Final Haunt,Sonic and Diablon,FALSE
326,A Missive from 50 Years Ago,HHHHH(H),Westopolis,Lethal Highway,Circus Park,Death Ruins,Lost Impact,Final Haunt,Black Doom,TRUE
